Sun May 03 04:22:56 +0000 2015, @BrandonGrav, Manny jus throwing punches and not doing nothin to Floyd lol 
Sun May 03 04:22:57 +0000 2015, @mikaela_millan, Money be like, 'NOPE. NOPE.' Manny be like, 'HELL YEAH BITCH' 
Sun May 03 04:22:57 +0000 2015, @mixedmatchess, Dear god I hope Floyd hits manny with the rko 
Sun May 03 04:22:57 +0000 2015, @_rasdarnell, the crowd seems to shout every time manny swings, even when mayweather blocks it lol 
Sun May 03 04:22:57 +0000 2015, @ThatBeClint, Manny Punches Look Good But He Ain't Landing Nothing #TMT #MayweatherPacquiao 
Sun May 03 04:22:57 +0000 2015, @TomasA_99, Negro puto vamos Manny 
Sun May 03 04:22:57 +0000 2015, @MixdMartialArse, Manny launching combos into Mayweather's guard is the boxing equivalent of "takedown to steal the round" right? 
Sun May 03 04:22:57 +0000 2015, @NikkiBritania, BEYONCE YOU BETTER BE ROOTING FOR MANNY PLS 
Sun May 03 04:22:57 +0000 2015, @IamClevR, Mayweather seems to be toying with Manny... 
Sun May 03 04:22:57 +0000 2015, @janoshitter, @bayagrauhl yup pero still solar is better  y dont u solar gurl. Oyyy omg jdhdjdhfjndhchv HALATA NAMANG SI MANNY NA PANALO EH PUNYETA 
Sun May 03 04:22:57 +0000 2015, @RhiyanaReyes, Sige Manny!!!!! 
Sun May 03 04:22:57 +0000 2015, @WillieDynamite_, @adi_carl yea man they gon dice everything manny throw 
Sun May 03 04:22:57 +0000 2015, @HernanMatias21, Floyd, contra la esquina ante Manny.... JAJAJAJAJAJA negro feo #MayweatherPacquiao http://t.co/piQjhk6LWX http://t.co/i5cjWo4uQE 
Sun May 03 04:22:57 +0000 2015, @ItsKashyLM, 4-2 to #Mayweather at half way; #Manny needs to sustain his pressure. 
Sun May 03 04:22:57 +0000 2015, @MensHealthPH, End of round 6: Manny agressive for the most part. #MHforMP 
Sun May 03 04:22:57 +0000 2015, @MarcoPaul, Go Manny!!! You are putting a great fight. I can see the victory!!!

Round 6/12

#OneForPacman
#MayPac
#PacWins 
Sun May 03 04:22:57 +0000 2015, @Uy_Anton, Pressure, Manny! #MayPac #MannyPacquiao #GoManny 
Sun May 03 04:22:57 +0000 2015, @mcleveland007, Mayweather leading 4-2 at half way. Come on Manny. #TeamPacquiao #MayPac 
Sun May 03 04:22:57 +0000 2015, @CemetryGates89, Close round, but Manny not landing enough there for me to decisively win the round. Could go either way. 
Sun May 03 04:22:57 +0000 2015, @Youhatemae, THE DEVIL IS A LIAR!!!! God is powerful and you will win this victory manny @MannyPacquiao #PacWins 
Sun May 03 04:23:05 +0000 2015, @harleypyrate02, MANNY TAKES WEATHER TO THE ROPES! PUNCHES BLOCKED! 
Sun May 03 04:23:05 +0000 2015, @jciku, MANNY!!!
GADDMMIT!!!! 
Sun May 03 04:23:05 +0000 2015, @Kataangers, May shaking his head when Manny hits him lol. 
Sun May 03 04:23:05 +0000 2015, @itslululorii, Wtf is floyd doing saying nope? Ahaha Manny got this! 
Sun May 03 04:23:05 +0000 2015, @SamParker1994, Manny came to fight, Mayweather came to block and hug for 12 rounds and win on points 
Sun May 03 04:23:05 +0000 2015, @Too_Real00, Manny can't beat him in the center he need the ropes 
