Sun May 03 04:34:51 +0000 2015, @musty74, Floyd getting cocky, thinks it won - hopefully leaves himself open for Manny to smack him upside his head #MayPac 
Sun May 03 04:34:51 +0000 2015, @__misnomer__, Pac is going for the KO, Floyd is going for the high score. Too many misses from Manny. 
Sun May 03 04:34:51 +0000 2015, @Xeven07, Manny tiene q cambiar la estrategia #PacquiaoMayweather 
Sun May 03 04:34:51 +0000 2015, @Smugsy2, I think Manny nicked that round 
Sun May 03 04:34:51 +0000 2015, @tylersantos6, Manny needs the knockout 
Sun May 03 04:34:51 +0000 2015, @aketzalli162, Hahha vamos manny  #la pelea del siglo 
Sun May 03 04:34:51 +0000 2015, @magicbotian, Go Manny https://t.co/J7U09rcPLu 
Sun May 03 04:34:51 +0000 2015, @time_taken_up, If you think it's close, then Manny is paying $5 live. 
Sun May 03 04:34:51 +0000 2015, @jusdanie, VAMOS MANNY SI SE PUEDE #LaPeleaDelSigloEnTD 
Sun May 03 04:34:51 +0000 2015, @laurenth0mpsn, Wonder how well mayweather would do if manny made all the decisions 
Sun May 03 04:34:51 +0000 2015, @25Lyds, @warfreakchick dh nkk update mttulog ko lm n snu nnalo c manny.. 
Sun May 03 04:35:01 +0000 2015, @CYBELBARRACA, This Is Pancit ..
Manny For The Win :)

#Pacman
#BattleForGreatness 
Sun May 03 04:35:01 +0000 2015, @Drinkmaaan, Manny needs a KO, IMO 
Sun May 03 04:35:01 +0000 2015, @sofia_jera, Go Manny Pacquiao!! #temmannypacquiao #PacWins @MannyPacquiao 
Sun May 03 04:35:01 +0000 2015, @CMRNchance, MAYWEATHER IS MANNY AF AWWWEEE PUSUAN NATIN YAN  #TeamPacquiao 
Sun May 03 04:35:01 +0000 2015, @aristennn, Dude he's just scoring on Manny... Something needs to happen! 
Sun May 03 04:35:01 +0000 2015, @FonchoSong, Si Manny gana nos tiramos a Calle 50? 
Sun May 03 04:35:01 +0000 2015, @jeremy10rod, Only way anyone will beat mayweather is by knock bc bullshit unanimous decisions. I hope manny gets it
#TeamPacquiao 
Sun May 03 04:35:01 +0000 2015, @AOldland, Mayweather's something else, Manny is gonna have to pull something out the bag. Come on Manny 
Sun May 03 04:35:01 +0000 2015, @harrydecosemo, Floyd showing he's the best. Boring, maybe, but he's completely stifling Manny. Brilliant stuff. #MayPac 
Sun May 03 04:35:01 +0000 2015, @BeautyArabian, Round 9: Round started off as Manny's. Halfway through Mayweather started countering and connecting. Probably Floyd's round. 
Sun May 03 04:35:01 +0000 2015, @printedclouds, uy manny please give him your best shot 
Sun May 03 04:35:01 +0000 2015, @arraxdenielle, Mas ako pa yung kinakabahan kesa kay Manny eh!  #IsangBayanParaKayPacman 
Sun May 03 04:35:01 +0000 2015, @jalecxagriffin, utang na loob manny pls. manalo ka! kaya mo yan! para mabawasan pagkahangin ni Mayweather
#OneForPacman 
Sun May 03 04:35:01 +0000 2015, @DeniPajkanovic, All I hear is what a fucking hit by manny 
Sun May 03 04:35:01 +0000 2015, @Jdelossantos_, @josephwibowo_ http://t.co/h3DfTrp1MO 
